id,competitor,product_category,product_name,specification,price,unit_price,title,content,source,publish_time,url,dimension
news001,盒马,market,冷链配送,门店履约,,,盒马升级冷链供应链,盒马宣布加强产地仓和城市仓协同提升肉蛋奶配送稳定性,行业媒体手工样例,2026-07-01,https://manual.local/news/news001,market
news002,叮咚买菜,market,即时零售,前置仓,,,叮咚买菜优化前置仓商品结构,叮咚买菜增加基础蔬菜和奶类备货以提升高频复购,行业媒体手工样例,2026-07-01,https://manual.local/news/news002,market
news003,美团买菜,market,补贴策略,平台竞争,,,美团买菜加强菜篮子补贴,美团买菜在部分城市加强猪肉鸡蛋等民生商品补贴,行业媒体手工样例,2026-07-02,https://manual.local/news/news003,market
news004,朴朴超市,market,门店扩张,区域市场,,,朴朴超市扩张华南门店,朴朴超市在华南加密配送站点提升蔬果配送时效,行业媒体手工样例,2026-07-02,https://manual.local/news/news004,market
news005,京东七鲜,market,产地直采,水果,,,京东七鲜加码水果产地直采,京东七鲜通过产地直采降低苹果葡萄等水果损耗,行业媒体手工样例,2026-07-03,https://manual.local/news/news005,market
news006,永辉生活,market,社区店,生鲜,,,永辉生活强化社区生鲜履约,永辉生活门店加大基础蔬菜和奶类即时配送能力,行业媒体手工样例,2026-07-03,https://manual.local/news/news006,market
news007,山姆会员店,market,会员仓储,肉类,,,山姆会员店扩大肉类大包装选择,山姆会员店新增家庭装牛肉和鲜虾以提升客单价,行业媒体手工样例,2026-07-04,https://manual.local/news/news007,market
news008,京东生鲜,market,冷链物流,水产,,,京东生鲜提升水产冷链覆盖,京东生鲜增加鲜虾鱼类冷链配送城市,行业媒体手工样例,2026-07-04,https://manual.local/news/news008,market
news009,盒马,prepared_food,预制菜,新品,,,盒马加速预制菜上新,盒马面向工作日晚餐场景推出半成品菜套餐,行业媒体手工样例,2026-07-05,https://manual.local/news/news009,new_product
news010,叮咚买菜,fruit,草莓,节令商品,,,叮咚买菜启动草莓季,叮咚买菜上线草莓季专区并强调产地新鲜,行业媒体手工样例,2026-07-05,https://manual.local/news/news010,new_product
